Air Carrier Delay,Aircraft Arriving Late,National Aviation System Delay,Security Delay
7.1,0.28,0.342,0.314
7.1,0.278,0.37,0.294
7.5,0.285,0.377,0.279
7.0,0.278,0.366,0.302
6.5,0.28,0.362,0.306
6.5,0.304,0.394,0.257
6.1,0.301,0.408,0.248
6.1,0.319,0.414,0.225
6.4,0.294,0.421,0.242
5.8,0.302,0.419,0.235
5.8,0.322,0.398,0.229
5.6,0.326,0.392,0.237
5.7,0.312,0.394,0.251
7.2,0.30062779243519083,0.39626486519089316,0.24546967514765808
7.422037,0.3061116425607287,0.3970803293921358,0.24032663521880515
4.688354,0.4184,0.2921,0.2167
5.995397,0.4083,0.3525,0.1671
6.729125,0.3978,0.3765,0.168
